timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1539200714932,97,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script script 1-1,,true,,4467,170,1,1,0,179,0
1539200715213,32,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script script 1-1,,true,,30075,1111,1,1,0,18,0
1539200715263,14,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script script 1-1,,true,,29546,893,1,1,0,10,0
1539200715288,172,Open Random Date,200,"Number of samples in transaction : 3, number of failing samples : 0",Main script script 1-1,,true,,85179,2712,1,1,0,662,0
1539200716118,27,Open Predefined Date,200,"Number of samples in transaction : 2, number of failing samples : 0",Main script script 1-1,,true,,53044,1819,1,1,0,44,0
1539200716189,162,Open Home Page,200,"Number of samples in transaction : 4, number of failing samples : 0",Main script script 1-1,,true,,86401,5559,1,1,0,62,0
1539200716414,47,Open Predefined Date,200,"Number of samples in transaction : 4, number of failing samples : 0",Main script script 1-1,,true,,85741,6364,1,1,0,44,0
1539200716505,583,Go To Contact,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script script 1-1,,true,,18308,953,1,1,0,5,0
1539200717093,37,Open Random Date,200,"Number of samples in transaction : 3, number of failing samples : 0",Main script script 1-1,,true,,83265,2871,1,1,0,33,0
1539200717163,10,Go To Contact,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script script 1-1,,true,,18308,953,1,1,0,4,0
1539200717177,26,Open Home Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Main script script 1-1,,true,,54610,1907,1,1,0,21,0
1539200717224,10,Go To Contact,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script script 1-1,,true,,18308,953,1,1,0,4,0
1539200717238,34,Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Main script script 1-1,,true,,57167,5015,1,1,0,28,0
1539200717300,43,Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Main script script 1-1,,true,,83458,2860,1,1,0,30,0
1539200717373,30,Open Home Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Main script script 1-1,,true,,54858,1907,1,1,0,22,0
1539200717425,24,Open Random Date,200,"Number of samples in transaction : 2, number of failing samples : 0",Main script script 1-1,,true,,53923,1925,1,1,0,24,0
1539200717473,40,Open Random Date,200,"Number of samples in transaction : 3, number of failing samples : 0",Main script script 1-1,,true,,58087,5281,1,1,0,21,0
1539200717534,23,Open Home Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Main script script 1-1,,true,,54432,1906,1,1,0,22,0
1539200717579,35,Open Home Page,200,"Number of samples in transaction : 3, number of failing samples : 0",Main script script 1-1,,true,,57974,5360,1,1,0,19,0
1539200717633,48,Open Home Page,200,"Number of samples in transaction : 4, number of failing samples : 0",Main script script 1-1,,true,,89078,6051,1,1,0,30,0
1539200717711,45,Open Random Date,200,"Number of samples in transaction : 3, number of failing samples : 0",Main script script 1-1,,true,,85730,2871,1,1,0,36,0
1539200717792,10,Go To Contact,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script script 1-1,,true,,18308,953,1,1,0,5,0
1539200717807,25,Open Home Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Main script script 1-1,,true,,56883,1907,1,1,0,18,0
1539200717850,42,Open Random Date,200,"Number of samples in transaction : 4, number of failing samples : 0",Main script script 1-1,,true,,87128,5923,1,1,0,34,0
1539200717926,48,Open Home Page,200,"Number of samples in transaction : 4, number of failing samples : 0",Main script script 1-1,,true,,89910,6179,1,1,0,27,0
1539200718001,55,Open Large Calendar,200,"Number of samples in transaction : 3, number of failing samples : 0",Main script script 1-1,,true,,54881,5732,1,1,0,22,0
1539200718079,92,Open Large Calendar,200,"Number of samples in transaction : 2, number of failing samples : 0",Main script script 1-1,,true,,50761,1928,1,1,0,13,0
1539200718184,53,Open Home Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Main script script 1-1,,true,,54858,1907,1,1,0,28,0
1539200718265,8,Go To Contact,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script script 1-1,,true,,18308,953,1,1,0,6,0
1539200718279,35,Open Random Date,200,"Number of samples in transaction : 3, number of failing samples : 0",Main script script 1-1,,true,,84684,2870,1,1,0,28,0
1539200718342,25,Open Home Page,200,"Number of samples in transaction : 2, number of failing samples : 0",Main script script 1-1,,true,,54718,1907,1,1,0,22,0
1539200718389,10,Go To Contact,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script script 1-1,,true,,18308,953,1,1,0,4,0
1539200718403,9,Go To Contact,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script script 1-1,,true,,18308,953,1,1,0,4,0
1539200718417,23,Open Predefined Date,200,"Number of samples in transaction : 2, number of failing samples : 0",Main script script 1-1,,true,,52990,1925,1,1,0,21,0
1539200718461,76,Search by Name,200,"Number of samples in transaction : 2, number of failing samples : 0",Main script script 1-1,,true,,50476,1922,1,1,0,13,0
1539200718550,27,Open Predefined Date,200,"Number of samples in transaction : 3, number of failing samples : 0",Main script script 1-1,,true,,85526,2871,1,1,0,29,0
1539200718607,39,Open Predefined Date,200,"Number of samples in transaction : 4, number of failing samples : 0",Main script script 1-1,,true,,86198,6680,1,1,0,25,0
1539200718671,9,Go To Contact,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script script 1-1,,true,,18308,953,1,1,0,4,0
1539200718684,18,Search by Name,200,"Number of samples in transaction : 2, number of failing samples : 0",Main script script 1-1,,true,,50911,1922,1,1,0,12,0
1539200718714,27,Open Predefined Date,200,"Number of samples in transaction : 3, number of failing samples : 0",Main script script 1-1,,true,,55802,5023,1,1,0,20,0
1539200718761,7,Go To Contact,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script script 1-1,,true,,18308,953,1,1,0,4,0
