timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1548509175039,0,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509176040,0,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509177040,40152000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509178041,25016000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509179042,30264000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509180043,36188000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509181043,25908000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509182044,29840000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509183045,33356000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509184045,49660000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509185046,24700000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509186047,23228000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509187048,39544000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509188048,27584000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509189049,17572000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509190050,32552000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509191050,29268000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509192051,11168000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509193052,36004000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509194053,33480000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509195053,21744000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509196054,23572000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509197055,62560000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509198056,22364000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509199056,17404000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509200057,50312000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509201058,64156000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509202058,23892000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509203059,49948000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509204060,29684000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509205060,34464000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509206061,55000000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509207062,42944000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509208062,30740000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509209062,39064000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509210063,87240000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509211064,103378000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509212064,90798000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509213065,71376000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509214066,56668000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509215067,56620000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509216067,43336000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509217068,75628000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509218069,62124000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509219070,50320000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509220070,38500000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509221071,50468000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509222071,54020000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509223072,37120000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509224073,34792000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509225074,197440000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509226075,66140000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509227075,417820000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509228076,881436000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509229077,42144000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509230078,73716000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509231078,55972000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509232079,44660000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509233079,53796000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509234080,115140000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509235081,113884000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509236081,53124000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509237082,21844000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509238082,68772000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509239082,68620000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509240083,57384000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509241083,28216000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509242083,25792000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509243083,40428000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509244084,86964000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509245085,44692000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509246086,42208000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509247086,64488000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509248086,92784000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509249087,80844000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509250087,47860000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509251090,49680000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509252104,65764000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509253127,33348000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509254195,70136000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509255195,89536000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509256311,63380000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509257312,69312000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509258312,58268000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509259312,49752000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509260312,89016000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509261313,68056000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509262315,106216000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
1548509263329,55568000,10.17.172.226 Network I/O,,,,,true,,0,0,0,0,0,0,0
