timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1538917413581,15,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 1-1,,true,,4467,170,1,1,0,133,0
1538917413733,24,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 1-1,,true,,29840,1111,1,1,0,18,0
1538917413775,19,Go To Main Blog page,200,OK,Anonymous script 1-1,text,true,,38854,893,1,1,19,0,0
1538917413795,37,1 Category,200,"Number of samples in transaction : 3, number of failing samples : 0",Anonymous script 1-1,,true,,92614,2711,1,1,0,473,0
1538917414305,46,2 Category,200,"Number of samples in transaction : 3, number of failing samples : 0",Anonymous script 1-1,,true,,67251,5060,1,1,0,33,0
1538917414385,31,1 Category,200,"Number of samples in transaction : 3, number of failing samples : 0",Anonymous script 1-1,,true,,61227,5301,1,1,0,28,0
1538917414445,40,2 Category,200,"Number of samples in transaction : 3, number of failing samples : 0",Anonymous script 1-1,,true,,67311,5655,1,1,0,12,0
1538917414498,18,1 Category,404,"Number of samples in transaction : 3, number of failing samples : 2",Anonymous script 1-1,,false,,32392,5516,1,1,0,20,0
1538917414536,30,1 Category,200,"Number of samples in transaction : 3, number of failing samples : 0",Anonymous script 1-1,,true,,61227,5554,1,1,0,33,0
1538917414602,46,1 Category,200,"Number of samples in transaction : 4, number of failing samples : 0",Anonymous script 1-1,,true,,112677,6008,1,1,0,53,0
1538917414701,12,3 Category,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 1-1,,true,,24560,953,1,1,0,5,0
1538917414718,51,2 Category,200,"Number of samples in transaction : 3, number of failing samples : 0",Anonymous script 1-1,,true,,67314,5084,1,1,0,13,0
1538917414782,12,1 Category,404,"Number of samples in transaction : 2, number of failing samples : 1",Anonymous script 1-1,,false,,27295,1923,1,1,0,17,0
1538917414812,25,2 Category,200,"Number of samples in transaction : 2, number of failing samples : 0",Anonymous script 1-1,,true,,63180,1922,1,1,0,14,0
1538917414851,29,2 Category,200,"Number of samples in transaction : 2, number of failing samples : 0",Anonymous script 1-1,,true,,63928,1928,1,1,0,11,0
