timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1541604218364,60,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,29316,118,2,2,0,434,0
1541604218364,60,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,29316,118,2,2,0,434,0
1541604218873,23,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,4467,169,2,2,0,72,0
1541604218875,53,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,4467,169,2,2,0,58,0
1541604218968,475,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,30480,1120,2,2,0,31,0
1541604218990,468,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,30480,1118,2,2,0,67,0
1541604219540,2575,Edit post transaction,200,"Number of samples in transaction : 120, number of failing samples : 0",Editor script 1-2,,true,,1992258,116479,2,2,0,7915,0
1541604229970,102,Log out transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-2,,true,,29797,1035,2,2,0,2,0
1541604219475,3562,Edit post transaction,200,"Number of samples in transaction : 135, number of failing samples : 0",Editor script 1-1,,true,,2195591,130395,1,1,0,7278,0
1541604230256,41,Log out transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 1-1,,true,,29797,1035,1,1,0,0,0
