timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1548433457412,133,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-1,,true,,4674,173,1,1,0,4358,0
1548433461364,133,Go to log in page,200,OK,Main script 1-1,text,true,,4674,173,1,1,133,0,20
1548433461903,80,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-1,,true,,31021,1146,2,2,0,3511,0
1548433465377,80,Log in as Anonymous,200,OK,Main script 1-1,text,true,,31021,1146,2,2,37,0,11
1548433462421,8,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-2,,true,,4674,173,2,2,0,3311,0
1548433465718,8,Go to log in page,200,OK,Main script 1-2,text,true,,4674,173,2,2,7,0,1
1548433465494,125,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-1,,true,,30526,896,3,3,0,3514,0
1548433469000,125,Go To Main Blog page,200,OK,Main script 1-1,text,true,,30526,896,3,3,120,0,2
1548433465741,43,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-2,,true,,31021,1150,3,3,0,4506,0
1548433470239,43,Log in as Anonymous,200,OK,Main script 1-2,text,true,,31021,1150,3,3,13,0,3
1548433467422,16,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-3,,true,,4674,173,3,3,0,3556,0
1548433470961,16,Go to log in page,200,OK,Main script 1-3,text,true,,4674,173,3,3,15,0,2
1548433469135,34,Open Predefined Date transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-1,,true,,30529,914,4,4,0,4104,0
1548433473219,34,Open Predefined Date,200,OK,Main script 1-1,text,true,,30529,914,4,4,28,0,2
1548433470291,61,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-2,,true,,30526,896,4,4,0,3078,0
1548433473363,61,Go To Main Blog page,200,OK,Main script 1-2,text,true,,30526,896,4,4,51,0,4
1548433470995,35,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-3,,true,,31021,1142,4,4,0,3558,0
1548433474547,35,Log in as Anonymous,200,OK,Main script 1-3,text,true,,31021,1142,4,4,9,0,2
1548433472429,8,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-4,,true,,4674,173,4,4,0,4391,0
1548433476805,8,Go to log in page,200,OK,Main script 1-4,text,true,,4674,173,4,4,8,0,2
1548433473431,26,Open Predefined Date transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-2,,true,,30529,914,4,4,0,3718,0
1548433477133,26,Open Predefined Date,200,OK,Main script 1-2,text,true,,30529,914,4,4,20,0,1
1548433473274,343,Open Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-1,,true,,25780,911,5,5,0,4157,0
1548433477431,343,Go to post  post/49-editor2,200,OK,Main script 1-1,text,true,,25780,911,5,5,338,0,2
1548433474588,49,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-3,,true,,30526,896,5,5,0,4657,0
1548433479240,49,Go To Main Blog page,200,OK,Main script 1-3,text,true,,30526,896,5,5,43,0,2
1548433477427,12,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-5,,true,,4674,173,5,5,0,3285,0
1548433480704,12,Go to log in page,200,OK,Main script 1-5,text,true,,4674,173,5,5,11,0,2
1548433476828,42,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-4,,true,,31021,1146,5,5,0,4090,0
1548433480912,42,Log in as Anonymous,200,OK,Main script 1-4,text,true,,31021,1146,5,5,15,0,3
1548433477176,75,Open Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-2,,true,,25257,911,5,5,0,4419,0
1548433481595,75,Go to post  post/10-editor1,200,OK,Main script 1-2,text,true,,25257,911,5,5,63,0,2
1548433477776,105,Search by Name transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-1,,true,,26388,911,5,5,0,4479,0
1548433482249,105,Search query,200,OK,Main script 1-1,text,true,,26388,911,5,5,100,0,3
1548433479295,50,Open Predefined Date transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-3,,true,,30529,914,6,6,0,4009,0
1548433483288,50,Open Predefined Date,200,OK,Main script 1-3,text,true,,30529,914,6,6,44,0,2
1548433480724,59,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-5,,true,,31021,1162,6,6,0,3242,0
1548433483961,59,Log in as Anonymous,200,OK,Main script 1-5,text,true,,31021,1162,6,6,27,0,3
1548433480960,46,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-4,,true,,30526,896,6,6,0,3236,0
1548433484190,46,Go To Main Blog page,200,OK,Main script 1-4,text,true,,30526,896,6,6,40,0,2
1548433481672,45,Search by Name transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-2,,true,,26388,911,6,6,0,4053,0
1548433485719,45,Search query,200,OK,Main script 1-2,text,true,,26388,911,6,6,40,0,2
1548433482361,42,Open Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-1,,true,,25550,911,6,6,0,3474,0
1548433485835,42,Go to post  post/26-editor2,200,OK,Main script 1-1,text,true,,25550,911,6,6,37,0,1
1548433482424,16,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-6,,true,,4674,173,6,6,0,4248,0
1548433486658,16,Go to log in page,200,OK,Main script 1-6,text,true,,4674,173,6,6,16,0,2
1548433484026,33,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-5,,true,,30526,896,7,7,0,3486,0
1548433487508,33,Go To Main Blog page,200,OK,Main script 1-5,text,true,,30526,896,7,7,27,0,1
1548433484242,25,Open Predefined Date transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-4,,true,,30529,914,7,7,0,3353,0
1548433487574,25,Open Predefined Date,200,OK,Main script 1-4,text,true,,30529,914,7,7,20,0,1
1548433483354,48,Open Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-3,,true,,25680,910,7,7,0,4882,0
1548433488237,48,Go to post  post/5-editor1,200,OK,Main script 1-3,text,true,,25680,910,7,7,43,0,3
1548433485771,93,Open Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-2,,true,,25318,911,7,7,0,3564,0
1548433489335,93,Go to post  post/49-editor1,200,OK,Main script 1-2,text,true,,25318,911,7,7,87,0,3
1548433485878,50,Open Home Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-1,,true,,30526,896,7,7,0,4900,0
1548433490757,50,Open Home Page,200,OK,Main script 1-1,text,true,,30526,896,7,7,44,0,3
1548433487621,36,Open Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-4,,true,,25928,911,7,7,0,3319,0
1548433490940,36,Go to post  post/38-editor1,200,OK,Main script 1-4,text,true,,25928,911,7,7,31,0,1
1548433486688,48,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-6,,true,,31021,1134,7,7,0,4327,0
1548433491008,48,Log in as Anonymous,200,OK,Main script 1-6,text,true,,31021,1134,7,7,9,0,2
1548433487547,59,Open Predefined Date transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-5,,true,,30529,914,7,7,0,3485,0
1548433491007,59,Open Predefined Date,200,OK,Main script 1-5,text,true,,30529,914,7,7,53,0,1
1548433487427,9,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-7,,true,,4674,173,7,7,0,4512,0
1548433491934,9,Go to log in page,200,OK,Main script 1-7,text,true,,4674,173,7,7,8,0,2
1548433488287,30,Search by Name transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-3,,true,,26388,911,7,7,0,4059,0
1548433492339,30,Search query,200,OK,Main script 1-3,text,true,,26388,911,7,7,25,0,2
1548433490830,67,Open Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-1,,true,,25343,911,8,8,0,3140,0
1548433493970,67,Go to post  post/25-editor2,200,OK,Main script 1-1,text,true,,25343,911,8,8,62,0,3
1548433489431,30,Open Home Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-2,,true,,30526,896,8,8,0,4619,0
1548433494034,30,Open Home Page,200,OK,Main script 1-2,text,true,,30526,896,8,8,24,0,3
1548433490978,25,Search by Name transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Main script 1-4,,true,,26388,911,8,8,0,3170,0
