timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1549398102577,1501,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398103579,3407,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398104579,4773,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398105579,3100,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398106579,787,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398107580,0,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398108580,7000,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398109581,0,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398110581,6200,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398111581,0,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398112582,13835,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398113582,28150,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398114583,5324,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398115583,2314,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398116584,4625,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398117584,6156,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398118585,7722,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398119586,787,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398120587,3851,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398121588,14285,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398122588,43210,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398123588,3900,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398124588,3808,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398125589,11662,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398126589,1550,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398127589,6893,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398128590,16408,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398129590,1599,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398130591,8402,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398131592,3736,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398132592,30791,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398133592,22304,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398134593,13054,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398135593,7846,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398136594,6737,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398137595,14403,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398138596,4628,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398139596,9395,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398140596,7692,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398141596,782,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398142597,8464,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398143597,6839,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398144597,11038,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398145598,12456,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398146598,9350,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398147598,19728,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398148599,5366,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398149599,9995,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398150599,5497,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398151599,12462,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398152599,14501,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398153599,27684,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398154600,24655,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398155600,28779,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398156600,5369,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398157600,5450,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398158600,3812,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398159601,13570,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398160601,14682,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398161601,3887,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398162602,14467,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398163602,13096,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398164602,9916,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398165603,14550,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398166603,6105,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398167603,8600,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398168604,10703,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398169604,6250,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398170604,42121,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398171604,9224,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398172605,29211,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398173605,18037,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398174605,18825,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398175606,9471,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398176606,13047,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398177606,35353,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398178607,16236,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398179607,11391,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398180607,16666,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398181607,16937,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398182608,20728,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398183608,20039,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398184608,10733,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398185609,7800,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398186609,20926,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398187609,11564,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398188625,25406,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398189640,6786,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398190656,14581,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398191672,6152,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398192672,13250,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398193687,20664,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398194690,9304,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398195691,19590,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398196706,26735,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398197718,36590,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398198738,12272,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398199739,16475,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398200749,14509,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398201751,18610,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398202768,13047,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398203769,17816,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398204781,22331,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398205782,13734,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398206785,20922,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398207799,7639,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398208802,23263,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398209813,13811,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398210830,10533,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398211845,12166,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398212869,48076,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398213875,49224,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398214893,11396,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398215895,15600,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398216897,25595,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398217898,13293,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398218911,26540,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398219926,16618,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398220926,12550,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398221926,15483,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398222926,15491,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398223954,16634,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398224956,19394,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398225976,34820,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398227044,84687,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398228051,95487,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398229066,56810,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398230067,38740,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398231082,70283,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398232083,30227,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
1549398233112,32306,10.17.174.209 CPU,,,,,true,,0,0,0,0,0,0,0
