timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1549398099657,57,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-1,,true,,31730,355,1,3,0,4571,0
1549398103914,57,Go To Main Blog page,200,OK,Admin script 1-1,text,true,,31730,355,1,3,51,0,20
1549398099661,34,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-1,,true,,4543,406,1,3,0,4595,0
1549398103914,34,Go to log in page,200,OK,Anonymous script 3-1,text,true,,4543,406,1,3,34,0,20
1549398099656,14,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-1,,true,,4543,406,1,3,0,4789,0
1549398104424,14,Go to log in page,200,OK,Editor script 2-1,text,true,,4543,406,1,3,13,0,2
1549398104460,56,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-1,,true,,32902,1496,1,4,0,4322,0
1549398108774,56,Log in as Editor,200,OK,Editor script 2-1,text,true,,32902,1496,1,4,8,0,1
1549398104286,13,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-1,,true,,4543,406,1,4,0,4983,0
1549398109252,13,Go to log in page,200,OK,Admin script 1-1,text,true,,4543,406,1,4,12,0,2
1549398104667,15,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-2,,true,,4543,406,2,4,0,4909,0
1549398109565,15,Go to log in page,200,OK,Anonymous script 3-2,text,true,,4543,406,2,4,14,0,2
1549398104291,108,Log in transaction,200,"Number of samples in transaction : 2, number of failing samples : 0",Anonymous script 3-1,,true,,37442,1508,3,5,0,6690,0
1549398107375,106,Log in as Anonymous,200,OK,Anonymous script 3-1,text,true,,32902,1508,2,4,29,0,11
1549398111087,2,Debug Sampler,200,OK,Anonymous script 3-1,text,true,,4540,0,3,5,0,0,0
1549398109283,64,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-1,,true,,32902,1506,1,5,0,3370,0
1549398112647,64,Log in as Admin,200,OK,Admin script 1-1,text,true,,32902,1506,1,5,29,0,3
1549398109666,14,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-3,,true,,4543,406,3,5,0,3646,0
1549398113297,14,Go to log in page,200,OK,Anonymous script 3-3,text,true,,4543,406,3,5,13,0,1
1549398108838,65,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-1,,true,,34235,1129,1,5,0,4486,0
1549398113310,65,Go To Main Blog page,200,OK,Editor script 2-1,text,true,,34235,1129,1,5,58,0,2
1549398111090,64,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-1,,true,,32365,1129,4,8,0,4558,0
1549398115643,64,Go To Main Blog page,200,OK,Anonymous script 3-1,text,true,,32365,1129,4,8,56,0,2
1549398113398,78,Open Predefined Date transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-1,,true,,34323,1147,2,8,0,3843,0
1549398117229,78,Open Predefined Date,200,OK,Editor script 2-1,text,true,,34323,1147,2,8,72,0,2
1549398112733,10,Open Admin Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-1,,true,,8972,1134,2,8,0,4624,0
1549398117358,10,Open Admin Page,200,OK,Admin script 1-1,text,true,,8972,1134,2,8,8,0,1
1549398114656,14,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-2,,true,,4543,406,2,8,0,3528,0
1549398118174,14,Go to log in page,200,OK,Editor script 2-2,text,true,,4543,406,2,8,12,0,2
1549398114666,9,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-4,,true,,4543,406,4,8,0,3543,0
1549398118202,9,Go to log in page,200,OK,Anonymous script 3-4,text,true,,4543,406,4,8,8,0,2
