timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1549403190971,2458,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-1,,true,,4543,406,1,3,0,3868,0
1549403190981,1530,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-1,,true,,4543,406,1,3,0,4786,0
1549403194456,2458,Go to log in page,200,OK,Editor script 2-1,text,true,,4543,406,1,3,2458,0,19
1549403195419,1530,Go to log in page,200,OK,Anonymous script 3-1,text,true,,4543,406,1,3,1530,0,2
1549403190971,2487,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-1,,true,,31730,355,1,3,0,4497,0
1549403195452,2487,Go To Main Blog page,200,OK,Admin script 1-1,text,true,,31730,355,1,3,2481,0,2
1549403197956,15,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-1,,true,,4543,406,1,3,0,3943,0
1549403201862,15,Go to log in page,200,OK,Admin script 1-1,text,true,,4543,406,1,3,14,0,3
1549403197298,59,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-1,,true,,32902,1496,1,3,0,4655,0
1549403201945,59,Log in as Editor,200,OK,Editor script 2-1,text,true,,32902,1496,1,3,8,0,2
1549403197297,93,Log in transaction,200,"Number of samples in transaction : 2, number of failing samples : 0",Anonymous script 3-1,,true,,37442,1498,1,3,0,7213,0
1549403200453,91,Log in as Anonymous,200,OK,Anonymous script 3-1,text,true,,32902,1498,1,3,41,0,11
1549403204600,2,Debug Sampler,200,OK,Anonymous script 3-1,text,true,,4540,0,1,3,0,0,0
1549403201914,47,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-1,,true,,32902,1490,1,3,0,3303,0
1549403205210,47,Log in as Admin,200,OK,Admin script 1-1,text,true,,32902,1490,1,3,9,0,2
1549403202012,99,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-1,,true,,33636,1129,2,5,0,4766,0
1549403206771,99,Go To Main Blog page,200,OK,Editor script 2-1,text,true,,33636,1129,2,5,93,0,1
1549403204603,59,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-1,,true,,32365,1129,1,5,0,4355,0
1549403208952,59,Go To Main Blog page,200,OK,Anonymous script 3-1,text,true,,32365,1129,1,5,53,0,2
1549403205970,7,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-2,,true,,4543,406,2,5,0,3095,0
1549403209058,7,Go to log in page,200,OK,Editor script 2-2,text,true,,4543,406,2,5,6,0,1
1549403205969,35,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-2,,true,,31730,355,2,5,0,3180,0
1549403209143,35,Go To Main Blog page,200,OK,Admin script 1-2,text,true,,31730,355,2,5,29,0,1
1549403205281,1644,Open Admin Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-1,,true,,8977,1134,2,6,0,4551,0
1549403209831,1644,Open Admin Page,200,OK,Admin script 1-1,text,true,,8977,1134,2,6,1643,0,2
1549403206885,35,Open Predefined Date transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-1,,true,,33724,1147,2,6,0,4657,0
1549403211529,35,Open Predefined Date,200,OK,Editor script 2-1,text,true,,33724,1147,2,6,29,0,1
1549403209184,15,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-2,,true,,4543,406,2,6,0,3191,0
1549403212361,15,Go to log in page,200,OK,Admin script 1-2,text,true,,4543,406,2,6,13,0,2
1549403209072,48,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-2,,true,,32902,1500,2,6,0,3613,0
1549403212679,48,Log in as Editor,200,OK,Editor script 2-2,text,true,,32902,1500,2,6,9,0,2
1549403209018,62,Open Home Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-1,,true,,32365,1129,2,6,0,4994,0
1549403213988,62,Open Home Page,200,OK,Anonymous script 3-1,text,true,,32365,1129,2,6,56,0,2
1549403210978,8,Go to log in page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-2,,true,,4543,406,2,6,0,3550,0
1549403214522,8,Go to log in page,200,OK,Anonymous script 3-2,text,true,,4543,406,2,6,7,0,1
1549403212390,60,Log in transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-2,,true,,32902,1512,2,6,0,3230,0
1549403215614,60,Log in as Admin,200,OK,Admin script 1-2,text,true,,32902,1512,2,6,22,0,1
1549403212733,118,Go To Main Blog page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-2,,true,,33636,1129,2,6,0,3013,0
1549403215739,118,Go To Main Blog page,200,OK,Editor script 2-2,text,true,,33636,1129,2,6,115,0,1
1549403211476,584,Open Users Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-1,,true,,6444,1179,2,6,0,3838,0
1549403215254,584,Open Users Page,200,OK,Admin script 1-1,text,true,,6444,1179,2,6,584,0,1
1549403211578,732,Open Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Editor script 2-1,,true,,26294,1145,2,6,0,5045,0
1549403216614,732,Go to post  post/162-editor2,200,OK,Editor script 2-1,text,true,,26294,1145,2,6,727,0,2
1549403214074,240,Open Random Post transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-1,,true,,26555,1145,2,6,0,3147,0
1549403217221,240,Go to post  post/317-editor1,200,OK,Anonymous script 3-1,text,true,,26555,1145,2,6,234,0,1
1549403215683,8,Open Admin Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Admin script 1-2,,true,,8972,1134,2,6,0,4685,0
1549403220368,8,Open Admin Page,200,OK,Admin script 1-2,text,true,,8972,1134,2,6,7,0,1
1549403220635,26,Determine action for Switch Controller - JSR223 Sampler,200,OK,Admin script 1-1,text,true,,0,0,2,6,0,0,0
1549403220817,37,Get post info by POST_ID_VAL,200,OK,Editor script 2-1,text,true,,925,1175,2,6,37,0,1
1549403214537,70,Log in transaction,200,"Number of samples in transaction : 2, number of failing samples : 0",Anonymous script 3-2,,true,,37443,1508,2,6,0,6760,0
1549403218131,69,Log in as Anonymous,200,OK,Anonymous script 3-2,text,true,,32902,1508,2,6,22,0,2
1549403221366,1,Debug Sampler,200,OK,Anonymous script 3-2,text,true,,4541,0,2,6,0,0,0
1549403217464,58,Open Home Page transaction,200,"Number of samples in transaction : 1, number of failing samples : 0",Anonymous script 3-1,,true,,32365,1129,2,6,0,4391,0
1549403221838,58,Open Home Page,200,OK,Anonymous script 3-1,text,true,,32365,1129,2,6,52,0,2
