timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1549403192873,0,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403193886,73676000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403194896,137180000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403195896,109872000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403196896,52924000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403197903,61980000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403198921,54912000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403199922,63544000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403200953,63084000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403201967,67660000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403202981,35376000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403203984,38936000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403204999,20080000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403206013,39596000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403207029,66732000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403208032,54944000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403209044,37620000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403210059,43548000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403211063,19224000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403212066,38864000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403213079,31936000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403214095,50032000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403215098,45684000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403216125,71276000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403217126,37844000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403218128,55492000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403219128,29748000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
1549403220142,48480000,10.17.174.209 Network I/O,,,,,true,,0,0,0,0,0,0,0
